MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID
2021 / 12,Brooklyn,02,2643.460000000000036,626.639999999999986,451.139999999999986,3
2022 / 11,Brooklyn,02,2768.980000000000018,505.689999999999998,391.210000000000036,3
1991 / 07,Brooklyn,02,3566.300000000000182,,,3
1992 / 06,Brooklyn,02,3068.75,,,3
1992 / 12,Brooklyn,02,2990.400000000000091,,,3
1993 / 05,Brooklyn,02,2658.300000000000182,255.360000000000014,133.680000000000007,3
1994 / 04,Brooklyn,02,2727.800000000000182,328.160000000000025,210.050000000000011,3
1995 / 01,Brooklyn,02,2421.700000000000273,267.759999999999991,174.939999999999998,3
1996 / 12,Brooklyn,02,2536.450000000000273,301.660000000000025,161.289999999999992,3
1997 / 10,Brooklyn,02,2284.880000000000109,450.590000000000032,235.670000000000016,3
1997 / 12,Brooklyn,02,2390.050000000000182,421.120000000000005,223.860000000000014,3
1999 / 09,Brooklyn,02,2295.590000000000146,538.100000000000023,272.490000000000009,3
2000 / 09,Brooklyn,02,2289.179999999999836,534.759999999999991,286.199999999999989,3
2001 / 10,Brooklyn,02,2386.7800000000002,550.350000000000023,273.400000000000034,3
2003 / 02,Brooklyn,02,2229.050000000000182,308.980000000000018,,3
2004 / 03,Brooklyn,02,2612.139999999999873,11.76,,3
2005 / 01,Brooklyn,02,2113.400000000000091,441.329999999999984,225.870000000000005,3
2005 / 05,Brooklyn,02,2275.2800000000002,455.53000000000003,230.170000000000016,3
2005 / 11,Brooklyn,02,2306.269999999999982,479.579999999999984,239.730000000000018,3
2006 / 06,Brooklyn,02,2337.760000000000218,482.870000000000005,271.389999999999986,3
2006 / 09,Brooklyn,02,2260.380000000000109,472.900000000000034,252.659999999999997,3
2007 / 01,Brooklyn,02,2185.429999999999836,476.829999999999984,272.490000000000009,3
2007 / 02,Brooklyn,02,1890.470000000000027,353.090000000000032,235.860000000000014,3
2008 / 09,Brooklyn,02,2197.139999999999873,472.150000000000034,268.860000000000014,3
2009 / 01,Brooklyn,02,2026.309999999999945,463.230000000000018,318.509999999999991,3
2009 / 06,Brooklyn,02,2339.2800000000002,461.079999999999984,295.930000000000007,3
2009 / 10,Brooklyn,02,2256.940000000000055,425.139999999999986,291.170000000000016,3
2010 / 03,Brooklyn,02,2420.829999999999927,478.360000000000014,307.340000000000032,3
2010 / 07,Brooklyn,02,2187.880000000000109,410.389999999999986,295.060000000000002,3
2010 / 11,Brooklyn,02,2321.860000000000127,430.579999999999984,264.180000000000007,3
2011 / 02,Brooklyn,02,2203.309999999999945,458.170000000000016,310.650000000000034,3
2012 / 01,Brooklyn,02,2223.070000000000164,437.660000000000025,302.54000000000002,3
2012 / 10,Brooklyn,02,2407.139999999999873,415.629999999999995,248.810000000000002,3
2012 / 11,Brooklyn,02,2567.039999999999964,459.920000000000016,317.019999999999982,3
2012 / 12,Brooklyn,02,2349.200000000000273,468.160000000000025,277.150000000000034,3
2016 / 03,Brooklyn,02,2386.119999999999891,464.900000000000034,350.850000000000023,3
2016 / 04,Brooklyn,02,2392.220000000000255,441.970000000000027,338.319999999999993,3
2017 / 04,Brooklyn,02,2358.369999999999891,460.79000000000002,342.79000000000002,3
2017 / 10,Brooklyn,02,2448.849999999999909,491.360000000000014,353.680000000000007,3
2018 / 11,Brooklyn,02,2576.329999999999927,550.050000000000068,403.699999999999989,3
2019 / 03,Brooklyn,02,2361.900000000000091,496.579999999999984,375.54000000000002,3
2019 / 10,Brooklyn,02,2434.179999999999836,523.299999999999955,388.060000000000002,3
2020 / 07,Brooklyn,02,2663.619999999999891,502.199999999999989,478.090000000000032,3
2022 / 09,Brooklyn,02,2662.220000000000255,546.310000000000059,380.319999999999993,3
2022 / 12,Brooklyn,02,2718.7800000000002,620.350000000000023,423.689999999999998,3
2023 / 05,Brooklyn,02,2836.360000000000127,504,411.230000000000018,3
1991 / 08,Brooklyn,02,3506.400000000000091,,,3
1991 / 11,Brooklyn,02,3068.800000000000182,,,3
1992 / 01,Brooklyn,02,3024,,,3
1992 / 03,Brooklyn,02,3104.400000000000091,,,3
1993 / 03,Brooklyn,02,2759.200000000000273,,,3
1993 / 07,Brooklyn,02,2564.200000000000273,297.110000000000014,186.700000000000017,3
1993 / 11,Brooklyn,02,2786,325.879999999999995,164.530000000000001,3
1995 / 12,Brooklyn,02,2346.260000000000218,319.939999999999998,190.77000000000001,3
1997 / 05,Brooklyn,02,2510.179999999999836,319.850000000000023,184.259999999999991,3
1997 / 09,Brooklyn,02,2354.700000000000273,332.660000000000025,160.069999999999993,3
1998 / 06,Brooklyn,02,2421.650000000000091,374.230000000000018,213.539999999999992,3
1998 / 10,Brooklyn,02,2302.039999999999964,454.400000000000034,262.800000000000011,3
1998 / 12,Brooklyn,02,2304.5,457.560000000000002,255.620000000000005,3
1999 / 01,Brooklyn,02,2168.710000000000036,448.050000000000011,275.480000000000018,3
1999 / 06,Brooklyn,02,2413.119999999999891,441.220000000000027,250.090000000000003,3
1999 / 08,Brooklyn,02,2202.329999999999927,379.28000000000003,240.140000000000015,3
2000 / 03,Brooklyn,02,2218.420000000000073,531.870000000000005,274.569999999999993,3
2001 / 08,Brooklyn,02,2312.809999999999945,459.970000000000027,302.5,3
2001 / 09,Brooklyn,02,2185.690000000000055,440.689999999999998,264.129999999999995,3
2002 / 09,Brooklyn,02,2621.450000000000273,395.689999999999998,,3
2003 / 07,Brooklyn,02,2766.429999999999836,375.050000000000011,,3
2005 / 03,Brooklyn,02,2296.639999999999873,516.600000000000023,238.629999999999995,3
2005 / 09,Brooklyn,02,2230.079999999999927,468.79000000000002,241.560000000000002,3
2006 / 07,Brooklyn,02,2252.579999999999927,406.170000000000016,258.769999999999982,3
2007 / 08,Brooklyn,02,2295.889999999999873,448.939999999999998,256.889999999999986,3
2010 / 05,Brooklyn,02,2190.940000000000055,423.519999999999982,285.050000000000011,3
2011 / 01,Brooklyn,02,2173.809999999999945,441.430000000000007,293.019999999999982,3
2012 / 06,Brooklyn,02,2454.570000000000164,407.350000000000023,285.819999999999993,3
2013 / 10,Brooklyn,02,2408.170000000000073,426.28000000000003,293.189999999999998,3
2013 / 11,Brooklyn,02,2378.789999999999964,397.800000000000011,277.980000000000018,3
2014 / 06,Brooklyn,02,2443.829999999999927,440.449999999999989,296.819999999999993,3
2015 / 01,Brooklyn,02,2163.150000000000091,377.870000000000005,284.819999999999993,3
2015 / 03,Brooklyn,02,2355.389999999999873,429.680000000000007,302.769999999999982,3
2015 / 06,Brooklyn,02,2619.460000000000036,496.259999999999991,340.240000000000009,3
2015 / 08,Brooklyn,02,2327.619999999999891,414.439999999999998,301.680000000000007,3
2016 / 01,Brooklyn,02,2164.539999999999964,364.410000000000025,286.509999999999991,3
2016 / 05,Brooklyn,02,2390,438.420000000000016,324.889999999999986,3
2016 / 06,Brooklyn,02,2623.480000000000018,503.139999999999986,362.430000000000007,3
2016 / 07,Brooklyn,02,2300.460000000000036,428.79000000000002,332.800000000000011,3
2017 / 01,Brooklyn,02,2362.840000000000146,498.480000000000018,360.509999999999991,3
2018 / 02,Brooklyn,02,2156.240000000000236,456.670000000000016,345.300000000000011,3
2018 / 10,Brooklyn,02,2623.679999999999836,561.590000000000032,402.389999999999986,3
2019 / 04,Brooklyn,02,2456.110000000000127,493.949999999999989,376.699999999999989,3
2019 / 06,Brooklyn,02,2473.050000000000182,523.769999999999982,383.560000000000002,3
2019 / 07,Brooklyn,02,2544.420000000000073,504.110000000000014,403.129999999999995,3
2020 / 03,Brooklyn,02,2372.470000000000255,514.120000000000005,440.019999999999982,3
2020 / 08,Brooklyn,02,2676.610000000000127,484.259999999999991,445.449999999999989,3
2020 / 09,Brooklyn,02,2752.860000000000127,556.860000000000014,455.199999999999989,3
2021 / 09,Brooklyn,02,2675.889999999999873,592.980000000000018,416.850000000000023,3
2021 / 10,Brooklyn,02,2701.829999999999927,538.159999999999968,396.5,3
2021 / 11,Brooklyn,02,2662.760000000000218,504.199999999999989,383.110000000000014,3
2022 / 01,Brooklyn,02,2269.429999999999836,508.139999999999986,403.819999999999993,3
2022 / 04,Brooklyn,02,2576.700000000000273,515.710000000000036,401.939999999999998,3
2022 / 10,Brooklyn,02,2661.730000000000018,532.930000000000064,386.800000000000011,3
2023 / 04,Brooklyn,02,2518.309999999999945,459.759999999999991,373.900000000000034,3
1992 / 07,Brooklyn,02,3044.800000000000182,,,3
1992 / 09,Brooklyn,02,2952.099999999999909,,,3
1993 / 09,Brooklyn,02,2595.200000000000273,351.819999999999993,187.610000000000014,3
1994 / 01,Brooklyn,02,2507.400000000000091,250.170000000000016,179.259999999999991,3
1994 / 02,Brooklyn,02,2495.700000000000273,277.980000000000018,150.950000000000017,3
1994 / 06,Brooklyn,02,2799.599999999999909,345.560000000000002,204.849999999999994,3
1994 / 12,Brooklyn,02,2587.700000000000273,361.759999999999991,207.219999999999999,3
1995 / 05,Brooklyn,02,2459.960000000000036,340.680000000000007,190.450000000000017,3
1995 / 07,Brooklyn,02,2443.200000000000273,262.350000000000023,185.819999999999993,3
1995 / 09,Brooklyn,02,2292,277.319999999999993,180.5,3
1995 / 10,Brooklyn,02,2412.970000000000255,284.620000000000005,170.379999999999995,3
1996 / 02,Brooklyn,02,2119.699999999999818,303.920000000000016,173.539999999999992,3
1996 / 06,Brooklyn,02,2444.700000000000273,295.699999999999989,173.52000000000001,3
1996 / 09,Brooklyn,02,2400.079999999999927,301.569999999999993,163.990000000000009,3
1997 / 07,Brooklyn,02,2460.550000000000182,294.54000000000002,186.680000000000007,3
1998 / 02,Brooklyn,02,1991.100000000000136,361.769999999999982,204.810000000000002,3
1998 / 11,Brooklyn,02,2151.599999999999909,391.800000000000011,208.680000000000007,3
1999 / 02,Brooklyn,02,1905.930000000000064,374.889999999999986,211.159999999999997,3
1999 / 10,Brooklyn,02,2209.480000000000018,502.720000000000027,276.129999999999995,3
2000 / 05,Brooklyn,02,2447.420000000000073,529.25,270.889999999999986,3
2001 / 06,Brooklyn,02,2420.150000000000091,480.579999999999984,284.850000000000023,3
2001 / 12,Brooklyn,02,2349.570000000000164,489.720000000000027,258.449999999999989,3
2002 / 08,Brooklyn,02,2627.170000000000073,364.840000000000032,,3
2003 / 01,Brooklyn,02,2576.070000000000164,465.350000000000023,,3
2004 / 04,Brooklyn,02,2403.25,293.579999999999984,201.289999999999992,3
2005 / 10,Brooklyn,02,2333.019999999999982,522.870000000000005,255.27000000000001,3
2006 / 05,Brooklyn,02,2392.039999999999964,458.710000000000036,246.960000000000008,3
2007 / 07,Brooklyn,02,2230.909999999999854,402.79000000000002,248.219999999999999,3
2007 / 11,Brooklyn,02,2233.460000000000036,471.660000000000025,267.120000000000005,3
2008 / 04,Brooklyn,02,2229.460000000000036,462.129999999999995,278.139999999999986,3
2008 / 05,Brooklyn,02,2301.769999999999982,459.340000000000032,279.939999999999998,3
2009 / 02,Brooklyn,02,1854.059999999999945,398.54000000000002,259.560000000000002,3
2009 / 07,Brooklyn,02,2245.960000000000036,399.720000000000027,294.920000000000016,3
2009 / 08,Brooklyn,02,2159.7800000000002,384.079999999999984,276.04000000000002,3
2009 / 12,Brooklyn,02,2193.800000000000182,478.139999999999986,292.680000000000007,3
2010 / 01,Brooklyn,02,2008.529999999999973,437.879999999999995,310.840000000000032,3
2010 / 02,Brooklyn,02,1700.809999999999945,356.840000000000032,231.870000000000005,3
2010 / 09,Brooklyn,02,2268.720000000000255,467.600000000000023,283.060000000000002,3
2010 / 10,Brooklyn,02,2344.619999999999891,468.240000000000009,281.889999999999986,3
2012 / 03,Brooklyn,02,2263.5,428.650000000000034,277.019999999999982,3
2012 / 09,Brooklyn,02,2291.619999999999891,428.29000000000002,257.45999999999998,3
2015 / 02,Brooklyn,02,2057.320000000000164,452.050000000000011,343.600000000000023,3
2015 / 09,Brooklyn,02,2452.960000000000036,474.600000000000023,324.490000000000009,3
2015 / 10,Brooklyn,02,2537.130000000000109,491.699999999999989,335.620000000000005,3
2015 / 12,Brooklyn,02,2509.019999999999982,550.090000000000032,360.610000000000014,3
2020 / 06,Brooklyn,02,2608.210000000000036,489.310000000000002,478.04000000000002,3
2020 / 10,Brooklyn,02,2745.039999999999964,566.240000000000009,464.340000000000032,3
2022 / 07,Brooklyn,02,2499.320000000000164,474.129999999999995,368.319999999999993,3
1993 / 06,Brooklyn,02,2772.400000000000091,307.850000000000023,164.689999999999998,3
1993 / 12,Brooklyn,02,2753.900000000000091,392.400000000000034,194.050000000000011,3
1994 / 07,Brooklyn,02,2533.300000000000182,333.069999999999993,202.659999999999997,3
1994 / 10,Brooklyn,02,2582.900000000000091,308.139999999999986,176.830000000000013,3
1995 / 11,Brooklyn,02,2463.050000000000182,369.269999999999982,187.530000000000001,3
1996 / 07,Brooklyn,02,2571.400000000000091,311.990000000000009,176.530000000000001,3
1997 / 02,Brooklyn,02,2130.800000000000182,282.629999999999995,154.909999999999997,3
1997 / 03,Brooklyn,02,2239.300000000000182,294.410000000000025,158.930000000000007,3
1997 / 06,Brooklyn,02,2359.599999999999909,274.259999999999991,166.680000000000007,3
1997 / 08,Brooklyn,02,2313.700000000000273,278.379999999999995,174.939999999999998,3
1998 / 09,Brooklyn,02,2361.820000000000164,476.53000000000003,252.189999999999998,3
2000 / 02,Brooklyn,02,2029.1400000000001,441.319999999999993,244.120000000000005,3
2000 / 12,Brooklyn,02,2175.050000000000182,495.139999999999986,262.189999999999998,3
2002 / 01,Brooklyn,02,2323.990000000000236,508.579999999999984,291.54000000000002,3
2002 / 04,Brooklyn,02,2368.450000000000273,432.650000000000034,269.649999999999977,3
2002 / 07,Brooklyn,02,2722.450000000000273,379.240000000000009,,3
2002 / 12,Brooklyn,02,2650.809999999999945,441.460000000000036,,3
2003 / 08,Brooklyn,02,2652.309999999999945,378.470000000000027,,3
2003 / 09,Brooklyn,02,2774.570000000000164,458.980000000000018,,3
2004 / 01,Brooklyn,02,2417.940000000000055,57.630000000000003,,3
2004 / 02,Brooklyn,02,2304.510000000000218,207.640000000000015,,3
2004 / 06,Brooklyn,02,2591.460000000000036,502.699999999999989,231.300000000000011,3
2005 / 12,Brooklyn,02,2209.769999999999982,514.830000000000041,259.970000000000027,3
2006 / 01,Brooklyn,02,2194.869999999999891,482.410000000000025,256.910000000000025,3
2008 / 03,Brooklyn,02,2089.840000000000146,449.53000000000003,262.139999999999986,3
2008 / 10,Brooklyn,02,2202.480000000000018,479.579999999999984,286.759999999999991,3
2008 / 12,Brooklyn,02,2242.059999999999945,525.399999999999977,298.509999999999991,3
2010 / 04,Brooklyn,02,2186.929999999999836,416.319999999999993,280.550000000000011,3
2011 / 05,Brooklyn,02,2300.700000000000273,419.460000000000036,261.560000000000002,3
2011 / 06,Brooklyn,02,2459.059999999999945,473.720000000000027,297.060000000000002,3
2012 / 02,Brooklyn,02,2073.179999999999836,384.519999999999982,266.629999999999995,3
2012 / 08,Brooklyn,02,2430.079999999999927,418.54000000000002,279.04000000000002,3
2014 / 04,Brooklyn,02,2515.5300000000002,418.03000000000003,307.269999999999982,3
2014 / 05,Brooklyn,02,2626.639999999999873,423.050000000000011,308.689999999999998,3
2014 / 08,Brooklyn,02,2290.470000000000255,374.930000000000007,276.400000000000034,3
2014 / 12,Brooklyn,02,2497.929999999999836,517.659999999999968,332.379999999999995,3
2017 / 07,Brooklyn,02,2290.630000000000109,453.170000000000016,345.439999999999998,3
2017 / 11,Brooklyn,02,2477.010000000000218,525.789999999999964,385.819999999999993,3
2019 / 02,Brooklyn,02,2193.760000000000218,449.620000000000005,357.579999999999984,3
2019 / 08,Brooklyn,02,2509.559999999999945,524.509999999999991,390.120000000000005,3
2019 / 11,Brooklyn,02,2527.960000000000036,509.110000000000014,394.769999999999982,3
2021 / 02,Brooklyn,02,2068.230000000000018,460.29000000000002,395.579999999999984,3
2021 / 07,Brooklyn,02,2766.460000000000036,525.180000000000064,417.050000000000011,3
1992 / 08,Brooklyn,02,2965.400000000000091,,,3
1995 / 02,Brooklyn,02,2005.400000000000091,273.980000000000018,168.950000000000017,3
1995 / 03,Brooklyn,02,2377.599999999999909,341.550000000000011,206.280000000000001,3
1995 / 04,Brooklyn,02,2260.300000000000182,287.220000000000027,171.460000000000008,3
1995 / 06,Brooklyn,02,2497.320000000000164,273.680000000000007,188.920000000000016,3
1996 / 01,Brooklyn,02,2504.300000000000182,247.950000000000017,136.210000000000008,3
1997 / 04,Brooklyn,02,2452.800000000000182,316,175.25,3
1998 / 01,Brooklyn,02,2252.099999999999909,431.480000000000018,256.649999999999977,3
1998 / 03,Brooklyn,02,2235.400000000000091,363.269999999999982,200.400000000000006,3
1998 / 04,Brooklyn,02,2245.5,425.310000000000002,237.480000000000018,3
1998 / 05,Brooklyn,02,2352.550000000000182,421.759999999999991,233.420000000000016,3
1999 / 03,Brooklyn,02,2300.070000000000164,426.079999999999984,228.810000000000002,3
2000 / 07,Brooklyn,02,2231.460000000000036,438.920000000000016,278.170000000000016,3
2000 / 08,Brooklyn,02,2289.240000000000236,489.259999999999991,287.20999999999998,3
2001 / 01,Brooklyn,02,2357.880000000000109,491.28000000000003,276.45999999999998,3
2001 / 02,Brooklyn,02,1986.940000000000055,391.699999999999989,229.370000000000005,3
2001 / 04,Brooklyn,02,2220.75,422.670000000000016,244.710000000000008,3
2001 / 11,Brooklyn,02,2263.550000000000182,518,272.28000000000003,3
2002 / 06,Brooklyn,02,2370.599999999999909,441.100000000000023,278.389999999999986,3
2003 / 03,Brooklyn,02,2608.170000000000073,417.660000000000025,,3
2003 / 11,Brooklyn,02,2603.5,20.109999999999999,,3
2004 / 07,Brooklyn,02,2426.650000000000091,467.550000000000011,242.849999999999994,3
2004 / 11,Brooklyn,02,2348.200000000000273,513.159999999999968,212.909999999999997,3
2005 / 07,Brooklyn,02,2271.070000000000164,427.730000000000018,255.810000000000002,3
2006 / 03,Brooklyn,02,2128.420000000000073,445.04000000000002,253,3
2006 / 08,Brooklyn,02,2203.789999999999964,410.120000000000005,254.060000000000002,3
2006 / 12,Brooklyn,02,2194.630000000000109,463.180000000000007,243.409999999999997,3
2007 / 03,Brooklyn,02,2178.940000000000055,412.180000000000007,256.560000000000002,3
2007 / 12,Brooklyn,02,2265.190000000000055,511.590000000000032,258.670000000000016,3
2011 / 04,Brooklyn,02,2267.900000000000091,450.600000000000023,283.360000000000014,3
2011 / 07,Brooklyn,02,2159.320000000000164,386.629999999999995,267.370000000000005,3
2011 / 08,Brooklyn,02,2426.809999999999945,436.090000000000032,271.149999999999977,3
2012 / 04,Brooklyn,02,2245.5300000000002,385.730000000000018,259.560000000000002,3
2013 / 05,Brooklyn,02,2543.720000000000255,402.519999999999982,283.95999999999998,3
2013 / 06,Brooklyn,02,2456.5300000000002,394.550000000000011,293.259999999999991,3
2014 / 07,Brooklyn,02,2437,396.53000000000003,302.03000000000003,3
2014 / 09,Brooklyn,02,2473.360000000000127,418.920000000000016,280.319999999999993,3
2015 / 04,Brooklyn,02,2418.240000000000236,448.090000000000032,314.850000000000023,3
2015 / 05,Brooklyn,02,2487.990000000000236,425.590000000000032,306.699999999999989,3
2015 / 11,Brooklyn,02,2417.970000000000255,446.220000000000027,304.180000000000007,3
2016 / 08,Brooklyn,02,2399.679999999999836,455.009999999999991,331.189999999999998,3
2017 / 02,Brooklyn,02,2099.260000000000218,410.660000000000025,324.5,3
2017 / 05,Brooklyn,02,2647.970000000000255,500.889999999999986,380.03000000000003,3
2017 / 12,Brooklyn,02,2382.619999999999891,599.360000000000014,381.110000000000014,3
2018 / 01,Brooklyn,02,2381.059999999999945,553.289999999999964,404.519999999999982,3
2018 / 07,Brooklyn,02,2373.829999999999927,456.199999999999989,356.28000000000003,3
2018 / 08,Brooklyn,02,2447.2800000000002,514.230000000000018,388.620000000000005,3
2019 / 05,Brooklyn,02,2653.360000000000127,533.180000000000064,423.410000000000025,3
2022 / 02,Brooklyn,02,2405.369999999999891,497.210000000000036,401.590000000000032,3
2022 / 05,Brooklyn,02,2629.920000000000073,505.29000000000002,385.740000000000009,3
2023 / 01,Brooklyn,02,2686.849999999999909,529.600000000000023,394.670000000000016,3
2023 / 02,Brooklyn,02,2344.050000000000182,429.720000000000027,352.810000000000002,3
2023 / 07,Brooklyn,02,2587.710000000000036,479.550000000000011,372.110000000000014,3
1991 / 06,Brooklyn,02,3075.619999999999891,,,3
1992 / 02,Brooklyn,02,2715.800000000000182,,,3
1992 / 11,Brooklyn,02,2922.900000000000091,,,3
1996 / 04,Brooklyn,02,2515.75,288.060000000000002,167.27000000000001,3
1996 / 05,Brooklyn,02,2586.099999999999909,333.410000000000025,195.310000000000002,3
1996 / 08,Brooklyn,02,2486.200000000000273,299.930000000000007,183.140000000000015,3
1996 / 10,Brooklyn,02,2541.800000000000182,355.840000000000032,184.009999999999991,3
1997 / 11,Brooklyn,02,2240.400000000000091,396.460000000000036,198.52000000000001,3
1998 / 07,Brooklyn,02,2314.7800000000002,391.090000000000032,264.079999999999984,3
1999 / 04,Brooklyn,02,2152.5,404.759999999999991,245.469999999999999,3
1999 / 07,Brooklyn,02,2235.450000000000273,403.009999999999991,285.28000000000003,3
2000 / 01,Brooklyn,02,2047.690000000000055,421.930000000000007,266.199999999999989,3
2000 / 04,Brooklyn,02,2099.75,466.019999999999982,245.710000000000008,3
2000 / 06,Brooklyn,02,2321.059999999999945,487.379999999999995,287.889999999999986,3
2000 / 11,Brooklyn,02,2243.490000000000236,548.850000000000023,263.759999999999991,3
2001 / 03,Brooklyn,02,2267.440000000000055,504.889999999999986,283.560000000000002,3
2001 / 07,Brooklyn,02,2219.450000000000273,383.870000000000005,251.469999999999999,3
2002 / 03,Brooklyn,02,2161.7800000000002,449.470000000000027,266.519999999999982,3
2002 / 10,Brooklyn,02,2789.619999999999891,455.420000000000016,,3
2003 / 05,Brooklyn,02,2878.840000000000146,543.360000000000014,,3
2004 / 05,Brooklyn,02,2481.340000000000146,458.170000000000016,220.060000000000002,3
2004 / 12,Brooklyn,02,2290.490000000000236,564.470000000000027,251.420000000000016,3
2006 / 04,Brooklyn,02,2126.679999999999836,419.210000000000036,237.870000000000005,3
2006 / 10,Brooklyn,02,2272.210000000000036,451.879999999999995,239.539999999999992,3
2007 / 09,Brooklyn,02,2125.650000000000091,445.509999999999991,239.920000000000016,3
2008 / 02,Brooklyn,02,2003.269999999999982,428.240000000000009,253.860000000000014,3
2008 / 06,Brooklyn,02,2167.690000000000055,459.939999999999998,278.629999999999995,3
2008 / 11,Brooklyn,02,2129.400000000000091,460.579999999999984,271.560000000000002,3
2009 / 03,Brooklyn,02,2053.240000000000236,404.629999999999995,266.78000000000003,3
2009 / 04,Brooklyn,02,2135.720000000000255,424.04000000000002,291.670000000000016,3
2011 / 03,Brooklyn,02,2311.230000000000018,465.430000000000007,294.53000000000003,3
2011 / 11,Brooklyn,02,2492.409999999999854,442.689999999999998,272.569999999999993,3
2013 / 02,Brooklyn,02,2030.25,356.970000000000027,256.649999999999977,3
2013 / 08,Brooklyn,02,2343.889999999999873,364.439999999999998,279.879999999999995,3
2013 / 12,Brooklyn,02,2357.789999999999964,428.050000000000011,292.829999999999984,3
2014 / 03,Brooklyn,02,2352.820000000000164,391.629999999999995,290.170000000000016,3
2014 / 10,Brooklyn,02,2542.490000000000236,458.100000000000023,316.29000000000002,3
2015 / 07,Brooklyn,02,2391.329999999999927,432.879999999999995,328.78000000000003,3
2016 / 02,Brooklyn,02,2208.059999999999945,501.180000000000007,372.769999999999982,3
2016 / 10,Brooklyn,02,2387.990000000000236,495.509999999999991,340.379999999999995,3
2016 / 12,Brooklyn,02,2429.559999999999945,569.450000000000045,387.629999999999995,3
2017 / 09,Brooklyn,02,2412.010000000000218,529.879999999999995,361.610000000000014,3
2018 / 04,Brooklyn,02,2345.480000000000018,480.710000000000036,365.180000000000007,3
2018 / 12,Brooklyn,02,2433.650000000000091,568.389999999999986,386.870000000000005,3
2019 / 01,Brooklyn,02,2499.869999999999891,559.730000000000018,435.769999999999982,3
2019 / 09,Brooklyn,02,2435.240000000000236,506.79000000000002,372.53000000000003,3
