Material Group,Material Category,DSNY Diversion Summary Category,Aggregate Percent,Refuse Percent,"MGP (Metal, Glass, Plastic) Percent",Paper Percent,Organics Percent,"Generator (Aggregate, Residential, Schools, NYCHA, Litter Baskets)","Residential Strata (Citywide, HDHI, HDLI, HDMI, LDHI, LDLI, LDMI, MDHI, MDLI, MDMI)","Period (Annual, Season 1, Season 2)"
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.7%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),3.9%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.0%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.3%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.5%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.6%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Single-Use Plastics,Designated MGP,0.8%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Appliances: Plastic,Designated MGP,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.4%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.9%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Clear Container Glass,Designated MGP,1.7%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Green Container Glass,Designated MGP,1.0%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Brown Container Glass,Designated MGP,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Other Color Container Glass,Designated MGP,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Mixed Cullet,Designated MGP,1.2%,-,-,-,-,Aggregate,Citywide,Annual
Glass,Other Glass,Designated MGP,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,0.9%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Other Aluminum,Designated MGP,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Other Non-Ferrous,Designated MGP,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Steel/Tin Food Cans,Designated MGP,0.8%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Empty Aerosol Cans,Designated MGP,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Other Ferrous,Designated MGP,0.8%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Mixed Metals,Designated MGP,0.6%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Appliances: Ferrous,Designated MGP,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Yard Waste,Organics Suitable for Composting,5.7%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Food: Loose,Organics Suitable for Composting,14.6%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,1.5%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,4.6%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Food: Liquid,Organics Suitable for Composting,0.5%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.5%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Textiles: Non-Clothing,Textiles,1.7%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Textiles: Woven Bags,Textiles,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.7%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,1.2%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Shoes/Rubber/Leather,Textiles,0.9%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.2%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.2%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.1%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.2%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),4.6%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Animal By-Products,Other (Non-Divertable),1.9%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Fines,Other (Non-Divertable),3.1%,-,-,-,-,Aggregate,Citywide,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),1.1%,-,-,-,-,Aggregate,Citywide,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.2%,-,-,-,-,Aggregate,Citywide,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.3%,-,-,-,-,Aggregate,Citywide,Annual
Electronics,Computer Monitors,E-Waste,0.0%,-,-,-,-,Aggregate,Citywide,Annual
Electronics,Televisions,E-Waste,0.0%,-,-,-,-,Aggregate,Citywide,Annual
Electronics,Other Computer Equipment,E-Waste,0.1%,-,-,-,-,Aggregate,Citywide,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,0.4%,-,-,-,-,Aggregate,Citywide,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,0.9%,-,-,-,-,Aggregate,Citywide,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,1.9%,-,-,-,-,Aggregate,Citywide,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),1.4%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Oil Filters,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Antifreeze,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Wet-Cell Batteries,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,E-Mobility Batteries,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Vape Pens,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Rechargeable Batteries,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Other Dry-Cell Batteries,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Water-Based Adhesives/Glues,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Latex Paint,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Oil-Based Paint/Solvent,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Fluorescent Tubes/CFLs,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Mercury-Laden Wastes,HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,0.0%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Home Medical Products,HHW,0.2%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Pharmaceuticals,HHW,0.1%,-,-,-,-,Aggregate,Citywide,Annual
HHW,Other Potentially Harmful Wastes,HHW,0.1%,-,-,-,-,Aggregate,Citywide,Annual
Paper,Newspaper,Designated Paper,0.8%,0.5%,0.4%,4.8%,0.0%,Residential,Citywide,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,7.2%,2.2%,2.8%,56.6%,0.2%,Residential,Citywide,Annual
Paper,High Grade Paper,Designated Paper,0.4%,0.3%,0.1%,1.3%,0.0%,Residential,Citywide,Annual
Paper,Mixed Low Grade Paper,Designated Paper,7.1%,6.0%,3.2%,21.0%,0.2%,Residential,Citywide,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,0.3%,0.3%,0.1%,0.8%,0.0%,Residential,Citywide,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,8.7%,10.2%,2.2%,2.1%,0.8%,Residential,Citywide,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),1.7%,1.8%,0.9%,1.4%,0.1%,Residential,Citywide,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,0.4%,0.3%,1.6%,0.4%,0.0%,Residential,Citywide,Annual
Paper,Shredded Paper,Designated Paper,0.3%,0.2%,0.1%,1.5%,0.0%,Residential,Citywide,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.5%,1.1%,6.1%,0.4%,0.0%,Residential,Citywide,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.1%,0.1%,0.5%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.4%,0.2%,2.4%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.5%,0.3%,3.3%,0.2%,0.0%,Residential,Citywide,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.1%,0.1%,0.4%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Thermoforms,Designated MGP,1.3%,1.0%,4.3%,0.3%,0.1%,Residential,Citywide,Annual
Plastic,Other PVC,Designated MGP,0.0%,0.0%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Tubs & Lids,Designated MGP,0.9%,0.8%,2.5%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.3%,0.4%,0.1%,0.1%,0.1%,Residential,Citywide,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.3%,0.3%,0.7%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.6%,0.8%,0.3%,0.1%,0.1%,Residential,Citywide,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),3.9%,4.2%,3.4%,1.5%,0.8%,Residential,Citywide,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.3%,0.4%,0.1%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.5%,0.6%,0.3%,0.0%,0.1%,Residential,Citywide,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.6%,1.9%,0.9%,0.5%,0.2%,Residential,Citywide,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.4%,Residential,Citywide,Annual
Plastic,Single-Use Plastics,Designated MGP,0.8%,0.9%,0.9%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,Appliances: Plastic,Designated MGP,0.2%,0.1%,1.1%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.1%,0.0%,0.2%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.4%,0.2%,2.4%,0.1%,0.0%,Residential,Citywide,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.2%,0.2%,0.8%,0.0%,0.0%,Residential,Citywide,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.9%,0.8%,1.9%,0.3%,0.0%,Residential,Citywide,Annual
Glass,Clear Container Glass,Designated MGP,1.7%,0.9%,9.9%,0.5%,0.0%,Residential,Citywide,Annual
Glass,Green Container Glass,Designated MGP,1.0%,0.3%,7.4%,0.3%,0.0%,Residential,Citywide,Annual
Glass,Brown Container Glass,Designated MGP,0.3%,0.2%,1.7%,0.1%,0.0%,Residential,Citywide,Annual
Glass,Other Color Container Glass,Designated MGP,0.1%,0.0%,0.4%,0.0%,0.0%,Residential,Citywide,Annual
Glass,Mixed Cullet,Designated MGP,1.2%,0.5%,7.9%,0.2%,0.0%,Residential,Citywide,Annual
Glass,Other Glass,Designated MGP,0.3%,0.3%,0.9%,0.1%,0.0%,Residential,Citywide,Annual
Metal,Aluminum Cans & Bottles,Designated MGP,0.3%,0.3%,0.8%,0.1%,0.0%,Residential,Citywide,Annual
Metal,Aluminum Foil/Containers,Designated MGP,0.9%,0.9%,1.0%,0.1%,0.0%,Residential,Citywide,Annual
Metal,Other Aluminum,Designated MGP,0.1%,0.1%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
Metal,Other Non-Ferrous,Designated MGP,0.2%,0.1%,0.5%,0.0%,0.0%,Residential,Citywide,Annual
Metal,Steel/Tin Food Cans,Designated MGP,0.8%,0.5%,4.1%,0.2%,0.0%,Residential,Citywide,Annual
Metal,Empty Aerosol Cans,Designated MGP,0.2%,0.2%,0.6%,0.0%,0.0%,Residential,Citywide,Annual
Metal,Other Ferrous,Designated MGP,0.8%,0.5%,3.9%,0.3%,0.0%,Residential,Citywide,Annual
Metal,Mixed Metals,Designated MGP,0.6%,0.4%,2.6%,0.2%,0.0%,Residential,Citywide,Annual
Metal,Appliances: Ferrous,Designated MGP,0.2%,0.1%,1.3%,0.0%,0.0%,Residential,Citywide,Annual
Metal,Appliances: Non-Ferrous,Designated MGP,0.0%,0.0%,0.3%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Yard Waste,Organics Suitable for Composting,5.7%,6.8%,0.2%,0.3%,77.2%,Residential,Citywide,Annual
Organics,Food: Loose,Organics Suitable for Composting,14.5%,17.6%,1.2%,0.5%,17.0%,Residential,Citywide,Annual
Organics,Food: Intact Packaging,Organics Suitable for Composting,1.5%,1.7%,0.7%,0.2%,0.1%,Residential,Citywide,Annual
Organics,Food: Open Packaging,Organics Suitable for Composting,4.6%,5.4%,1.6%,0.3%,0.9%,Residential,Citywide,Annual
Organics,Food: Liquid,Organics Suitable for Composting,0.4%,0.5%,0.3%,0.1%,0.0%,Residential,Citywide,Annual
Organics,Non-C&D Wood,Other (Non-Divertable),0.5%,0.6%,0.3%,0.1%,0.1%,Residential,Citywide,Annual
Organics,Textiles: Non-Clothing,Textiles,1.8%,2.1%,0.3%,0.1%,0.1%,Residential,Citywide,Annual
Organics,Textiles: Woven Bags,Textiles,0.3%,0.4%,0.1%,0.1%,0.0%,Residential,Citywide,Annual
Organics,Textiles: Clothing - Stretchy Fabric,Textiles,0.7%,0.9%,0.1%,0.1%,0.0%,Residential,Citywide,Annual
Organics,Textiles: Clothing - Non-Stretchy,Textiles,1.2%,1.4%,0.1%,0.2%,0.0%,Residential,Citywide,Annual
Organics,Shoes/Rubber/Leather,Textiles,0.9%,1.1%,0.3%,0.1%,0.0%,Residential,Citywide,Annual
Organics,Carpet/ Upholstery: Broadloom Carpet,Other (Non-Divertable),0.2%,0.2%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Carpet/ Upholstery: Tile Carpet,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Carpet/ Upholstery: Other Carpet,Other (Non-Divertable),0.2%,0.3%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Carpet/ Upholstery: Spring Mattresses And Boxsprings,Other (Non-Divertable),0.1%,0.2%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Carpet/ Upholstery: Other Upholtery,Other (Non-Divertable),0.2%,0.3%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Disposable Diapers & Sanitary Products,Other (Non-Divertable),4.7%,5.7%,0.3%,0.2%,0.2%,Residential,Citywide,Annual
Organics,Animal By-Products,Other (Non-Divertable),1.9%,2.3%,0.2%,0.1%,0.1%,Residential,Citywide,Annual
Organics,Garden Hoses,Other (Non-Divertable),0.0%,0.0%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
Organics,Fines,Other (Non-Divertable),3.1%,3.4%,3.4%,0.5%,0.3%,Residential,Citywide,Annual
Organics,Miscellaneous Organics,Other (Non-Divertable),1.1%,1.3%,0.1%,0.1%,0.5%,Residential,Citywide,Annual
Electronics,Audio/Visual Equipment (TV Peripherals - Covered),E-Waste,0.2%,0.1%,0.5%,0.0%,0.0%,Residential,Citywide,Annual
Electronics,Audio/Visual Equipment (Non-Covered),E-Waste,0.3%,0.3%,0.6%,0.1%,0.0%,Residential,Citywide,Annual
Electronics,Computer Monitors,E-Waste,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Electronics,Televisions,E-Waste,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
Electronics,Other Computer Equipment,E-Waste,0.1%,0.1%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
C&D,"Untreated Dimension Lumber, Pallets, Crates",C & D,0.4%,0.5%,0.0%,0.1%,0.0%,Residential,Citywide,Annual
C&D,Treated/Contaminated/ Composite Wood,C & D,0.9%,1.1%,0.1%,0.1%,0.0%,Residential,Citywide,Annual
C&D,Other C&D Debris Not Elsewhere Classified,C & D,1.9%,2.3%,0.5%,0.1%,0.0%,Residential,Citywide,Annual
Miscellaneous,Miscellaneous Inorganics,Other (Non-Divertable),1.4%,1.5%,0.9%,0.4%,0.0%,Residential,Citywide,Annual
HHW,Pesticides/Herbicides/Rodenticides,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Oil Filters,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Antifreeze,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Wet-Cell Batteries,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,E-Mobility Batteries,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Vape Pens,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Rechargeable Batteries,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Other Dry-Cell Batteries,HHW,0.0%,0.0%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Water-Based Adhesives/Glues,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Latex Paint,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Oil-Based Paint/Solvent,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Fluorescent Tubes/CFLs,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Mercury-Laden Wastes,HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,"Compressed Gas Cylinders, Fire Extinguishers",HHW,0.0%,0.0%,0.0%,0.0%,0.0%,Residential,Citywide,Annual
HHW,Home Medical Products,HHW,0.2%,0.2%,0.1%,0.1%,0.0%,Residential,Citywide,Annual
HHW,Pharmaceuticals,HHW,0.1%,0.1%,0.0%,0.1%,0.0%,Residential,Citywide,Annual
HHW,Other Potentially Harmful Wastes,HHW,0.1%,0.1%,0.1%,0.0%,0.0%,Residential,Citywide,Annual
Paper,Newspaper,Designated Paper,1.9%,0.8%,0.5%,9.2%,-,Residential,HDHI,Annual
Paper,Plain OCC/Kraft Paper,Designated Paper,9.8%,2.6%,1.3%,53.1%,-,Residential,HDHI,Annual
Paper,High Grade Paper,Designated Paper,0.5%,0.4%,0.1%,0.9%,-,Residential,HDHI,Annual
Paper,Mixed Low Grade Paper,Designated Paper,10.0%,8.1%,2.5%,25.3%,-,Residential,HDHI,Annual
Paper,Compostable: Containers & Packaging,Organics Suitable for Composting,0.6%,0.5%,0.1%,1.1%,-,Residential,HDHI,Annual
Paper,Compostable: Other Soiled Paper/Waxed OCC/Kraft,Organics Suitable for Composting,10.2%,13.3%,1.6%,0.5%,-,Residential,HDHI,Annual
Paper,Other Non-recyclable Paper,Other (Non-Divertable),2.0%,2.2%,0.8%,1.5%,-,Residential,HDHI,Annual
Paper,Beverage Cartons & Aseptic Boxes,Designated MGP,0.5%,0.3%,1.8%,0.4%,-,Residential,HDHI,Annual
Paper,Shredded Paper,Designated Paper,0.3%,0.2%,0.0%,1.1%,-,Residential,HDHI,Annual
Plastic,#1 PET Bottles - Clear & Green,Designated MGP,1.4%,1.1%,5.2%,0.2%,-,Residential,HDHI,Annual
Plastic,#1 PET Bottles - All Other Colors,Designated MGP,0.1%,0.1%,0.5%,0.0%,-,Residential,HDHI,Annual
Plastic,#2 HDPE Natural Bottles,Designated MGP,0.4%,0.1%,2.1%,0.1%,-,Residential,HDHI,Annual
Plastic,#2 HDPE Colored Bottles,Designated MGP,0.5%,0.2%,2.8%,0.1%,-,Residential,HDHI,Annual
Plastic,#3-#7 & Unlabeled Bottles,Designated MGP,0.1%,0.1%,0.2%,0.0%,-,Residential,HDHI,Annual
Plastic,Thermoforms,Designated MGP,1.6%,1.4%,4.7%,0.2%,-,Residential,HDHI,Annual
Plastic,Other PVC,Designated MGP,0.0%,0.0%,0.1%,0.0%,-,Residential,HDHI,Annual
Plastic,Tubs & Lids,Designated MGP,1.4%,1.4%,2.7%,0.1%,-,Residential,HDHI,Annual
Plastic,#6 Expanded Polystyrene Containers & Packaging (EPS),Other (Non-Divertable),0.3%,0.3%,0.1%,0.0%,-,Residential,HDHI,Annual
Plastic,#1-#7 Other Rigid Containers/Packaging,Designated MGP,0.4%,0.4%,0.7%,0.1%,-,Residential,HDHI,Annual
Plastic,Film: Retail Bags & Sleeves,Other (Non-Divertable),0.5%,0.6%,0.2%,0.0%,-,Residential,HDHI,Annual
Plastic,Film: Garbage Bags,Other (Non-Divertable),4.4%,5.0%,4.2%,1.4%,-,Residential,HDHI,Annual
Plastic,Film: Non-Woven Reusable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,HDHI,Annual
Plastic,Film: Pouches,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,HDHI,Annual
Plastic,Film: Oversize Items,Other (Non-Divertable),0.3%,0.4%,0.1%,0.1%,-,Residential,HDHI,Annual
Plastic,Film: Other #2/#4 Polyethylene Bags,Other (Non-Divertable),0.5%,0.7%,0.2%,0.0%,-,Residential,HDHI,Annual
Plastic,Film: Other Non-Polyethylene/ Contaminated,Other (Non-Divertable),1.7%,2.1%,0.9%,0.4%,-,Residential,HDHI,Annual
Plastic,Film: DSNY Compostable Plastic Bags,Other (Non-Divertable),0.0%,0.0%,0.0%,0.0%,-,Residential,HDHI,Annual
Plastic,Single-Use Plastics,Designated MGP,0.6%,0.6%,0.8%,0.1%,-,Residential,HDHI,Annual
Plastic,Appliances: Plastic,Designated MGP,0.2%,0.2%,1.0%,0.1%,-,Residential,HDHI,Annual
Plastic,Bulk/Rigid: Plastic,Designated MGP,0.0%,0.0%,0.1%,0.0%,-,Residential,HDHI,Annual
Plastic,Bulk/Rigid: Plastic Toys/ Housewares,Designated MGP,0.3%,0.1%,1.8%,0.1%,-,Residential,HDHI,Annual
Plastic,Bulk/Rigid: Other Durable,Designated MGP,0.1%,0.1%,0.7%,0.0%,-,Residential,HDHI,Annual
Plastic,Other Plastics Materials not Elsewhere Classified,Designated MGP,0.8%,0.8%,1.8%,0.1%,-,Residential,HDHI,Annual
Glass,Clear Container Glass,Designated MGP,1.8%,0.9%,9.8%,0.2%,-,Residential,HDHI,Annual
Glass,Green Container Glass,Designated MGP,1.7%,0.6%,10.9%,0.1%,-,Residential,HDHI,Annual
Glass,Brown Container Glass,Designated MGP,0.4%,0.2%,1.9%,0.0%,-,Residential,HDHI,Annual
Glass,Other Color Container Glass,Designated MGP,0.1%,0.1%,0.5%,0.0%,-,Residential,HDHI,Annual
Glass,Mixed Cullet,Designated MGP,1.9%,0.8%,10.9%,0.3%,-,Residential,HDHI,Annual
